sentiment,id,date,query,username,text,clean_text,vader_score,vader_label,tb_polarity,tb_subjectivity,tb_label
Negative,2200003196,Tue Jun 16 18:18:12 PDT 2009,NO_QUERY,LaLaLindsey0609,@chrishasboobs AHHH I HOPE YOUR OK!!! ,ahhh i hope your ok!!!,0.7163,Positive,0.9765625,0.5,Positive
Negative,1467998485,Mon Apr 06 23:11:14 PDT 2009,NO_QUERY,sexygrneyes,"@misstoriblack cool , i have no tweet apps  for my razr 2","cool , i have no tweet apps for my razr 2",0.0258,Neutral,0.35,0.65,Positive
Negative,2300048954,Tue Jun 23 13:40:11 PDT 2009,NO_QUERY,sammydearr,"@TiannaChaos i know  just family drama. its lame.hey next time u hang out with kim n u guys like have a sleepover or whatever, ill call u","i know just family drama. its lame.hey next time u hang out with kim n u guys like have a sleepover or whatever, ill call u",-0.0772,Negative,-0.25,0.5,Negative
Negative,1993474027,Mon Jun 01 10:26:07 PDT 2009,NO_QUERY,Lamb_Leanne,School email won't open  and I have geography stuff on there to revise! *Stupid School* :'(,school email wont open and i have geography stuff on there to revise! stupid school,-0.5707,Negative,-0.39999999999999997,0.75,Negative
Negative,2256550904,Sat Jun 20 12:56:51 PDT 2009,NO_QUERY,yogicerdito,upper airways problem ,upper airways problem,-0.4019,Negative,0.0,0.0,Neutral
Negative,2052380495,Sat Jun 06 00:32:16 PDT 2009,NO_QUERY,Yengching,Going to miss Pastor's sermon on Faith... ,going to miss pastors sermon on faith...,-0.1531,Negative,-0.225,0.3,Negative
Positive,1983449090,Sun May 31 13:10:36 PDT 2009,NO_QUERY,jessig06,on lunch....dj should come eat with me ,on lunch....dj should come eat with me,0.0,Neutral,0.0,0.0,Neutral
Negative,2245479748,Fri Jun 19 16:11:29 PDT 2009,NO_QUERY,felicityfuller,@piginthepoke oh why are you feeling like that? ,oh why are you feeling like that?,0.4588,Positive,0.0,0.0,Neutral
Negative,1770705699,Mon May 11 22:01:32 PDT 2009,NO_QUERY,stephiiheyy,gahh noo!peyton needs to live!this is horrible ,gahh noo!peyton needs to live!this is horrible,-0.6229,Negative,-1.0,1.0,Negative
Positive,1970386589,Sat May 30 03:39:34 PDT 2009,NO_QUERY,wyndwitch,@mrstessyman thank you glad you like it! There is a product review bit on the site  Enjoy knitting it!,thank you glad you like it! there is a product review bit on the site enjoy knitting it!,0.8953,Positive,0.5625,0.75,Positive
Positive,2052206835,Fri Jun 05 23:59:27 PDT 2009,NO_QUERY,salmafan,@PerezHilton Zach makes me pee sitting down! And I'm a grown gay man! ,zach makes me pee sitting down! and im a grown gay man!,0.0,Neutral,0.16319444444444448,0.4361111111111111,Positive
Positive,1992273171,Mon Jun 01 08:29:05 PDT 2009,NO_QUERY,spanishman,to sum up my day in one word ......... kackered! ,to sum up my day in one word ......... kackered!,0.0,Neutral,0.0,0.0,Neutral
Positive,2069921255,Sun Jun 07 16:46:29 PDT 2009,NO_QUERY,DannyMacRant,@k9wkj Great minds think alike ,great minds think alike,0.6249,Positive,0.8,0.75,Positive
Negative,2204735567,Wed Jun 17 03:00:02 PDT 2009,NO_QUERY,Arabellakind,Is Poorly and in bed! ,is poorly and in bed!,0.0,Neutral,-0.5,0.6,Negative
Positive,1553585468,Sat Apr 18 14:39:59 PDT 2009,NO_QUERY,Reisei,"@LilPecan Oh, that's really great  Here we have a small blizzard and also cold wind blows...","oh, thats really great here we have a small blizzard and also cold wind blows...",0.659,Positive,-0.016666666666666646,0.7166666666666667,Neutral
Positive,1834598659,Mon May 18 03:32:38 PDT 2009,NO_QUERY,andylackie,"@wizely lol, calm down.  i got a 30day loan offer for only 1500% ","lol, calm down. i got a 30day loan offer for only 1500",0.6249,Positive,0.23611111111111113,0.6847222222222222,Positive
Positive,2190762188,Tue Jun 16 03:39:22 PDT 2009,NO_QUERY,biaromerok,"i'm feeling quite sleepy today, wish i could stay in bed today...but OK! is my LAST YEAR, so let's go to school ","im feeling quite sleepy today, wish i could stay in bed today...but ok! is my last year, so lets go to school",0.7145,Positive,0.3125,0.2833333333333333,Positive
Negative,1973926253,Sat May 30 12:06:09 PDT 2009,NO_QUERY,risha_,@nadalnews Yeah  Mathieu totally choked in the 3rd set to let Rog win as well. Djokovic played TERRIBLY.  ,yeah mathieu totally choked in the 3rd set to let rog win as well. djokovic played terribly.,0.3626,Positive,-0.04999999999999999,0.5375,Neutral
Negative,2003334341,Tue Jun 02 06:20:35 PDT 2009,NO_QUERY,stephrunscity,"ugh, morning's off to a rough start ","ugh, mornings off to a rough start",-0.4215,Negative,-0.1,0.4,Negative
Negative,2063670257,Sun Jun 07 03:36:33 PDT 2009,NO_QUERY,cathymcewan,just bit my tongue ,just bit my tongue,0.0,Neutral,0.0,0.0,Neutral
Negative,1994589777,Mon Jun 01 12:09:16 PDT 2009,NO_QUERY,Jaystevens3,@frandrescher Apparently you dont have time for ur fans!!!!!!!!!! ,apparently you dont have time for ur fans!!!!!!!!!!,0.0,Neutral,0.46566128730773926,0.35,Positive
Positive,2054208245,Sat Jun 06 06:49:41 PDT 2009,NO_QUERY,MTVnHollyWEST23,Whaddup Whaddup Whaddup Whaddup Whaddup  I Got white girl swag from MY HEAD TO MY shOES Whaddup @yungla ,whaddup whaddup whaddup whaddup whaddup i got white girl swag from my head to my shoes whaddup,0.0,Neutral,0.0,0.0,Neutral
Positive,1957149371,Thu May 28 23:39:25 PDT 2009,NO_QUERY,Peaugh,"@GogDog I'd be willing to pay $40-50 (thus covering the cost of the set) for one of them, but if you've got a counter offer I'll listen. ","id be willing to pay 4050 thus covering the cost of the set for one of them, but if youve got a counter offer ill listen.",-0.5994,Negative,-0.125,0.875,Negative
Positive,2191233426,Tue Jun 16 04:49:51 PDT 2009,NO_QUERY,Kate_BridgeMin,Working on photos from Hillsong's 1 year celebration!!! stay tuned   www.hillsong.co.za,working on photos from hillsongs 1 year celebration!!! stay tuned www.hillsong.co.za,0.0,Neutral,0.0,0.0,Neutral
Negative,1676986264,Fri May 01 23:59:22 PDT 2009,NO_QUERY,babysitter187,"baby's chicken pox are soo bad on the face, I am afraid she might have scars ","babys chicken pox are soo bad on the face, i am afraid she might have scars",-0.5423,Negative,-0.6333333333333333,0.8388888888888889,Negative
Negative,2230296290,Thu Jun 18 16:54:56 PDT 2009,NO_QUERY,alyshmun,i don't feel good ,i dont feel good,-0.3412,Negative,0.7,0.6000000000000001,Positive
Positive,1969042558,Fri May 29 22:52:37 PDT 2009,NO_QUERY,gcrush,@edadkins ha ha I want to see pictures from when you were a minister!!!  *boobie flahses*!!!! ,ha ha i want to see pictures from when you were a minister!!! boobie flahses!!!!,0.7405,Positive,0.0,0.0,Neutral
Negative,1963325067,Fri May 29 12:33:09 PDT 2009,NO_QUERY,oniwolf,This day will pass slowly.  All of these days will.  RAWR!!!!  ... ,this day will pass slowly. all of these days will. rawr!!!! ...,0.0,Neutral,-0.7324218750000001,0.39999999999999997,Negative
Negative,2001978301,Tue Jun 02 02:43:56 PDT 2009,NO_QUERY,ENGLISHSMITH,my car is poorly ,my car is poorly,0.0,Neutral,-0.4,0.6,Negative
Positive,1557804294,Sun Apr 19 06:04:37 PDT 2009,NO_QUERY,seokhye,im turning 18 one week from now  but i don't feel excited  i really don't know why i've seen my friends  they got excited  but on my part,im turning 18 one week from now but i dont feel excited i really dont know why ive seen my friends they got excited but on my part,0.0108,Neutral,0.31666666666666665,0.5666666666666667,Positive
Positive,1833745318,Mon May 18 00:18:36 PDT 2009,NO_QUERY,ladiejaja,No woooooork tomorrrow&amp;tuesday ,no woooooork tomorrrowamptuesday,-0.296,Negative,0.0,0.0,Neutral
Negative,1880147585,Fri May 22 00:15:04 PDT 2009,NO_QUERY,mpwatson,Flatmates are still in the bathroom! ARGGH!! ,flatmates are still in the bathroom! arggh!!,0.0,Neutral,0.0,0.0,Neutral
Negative,2181196503,Mon Jun 15 11:29:59 PDT 2009,NO_QUERY,grskell3,I'm having an allergic reaction to silver earings ,im having an allergic reaction to silver earings,-0.296,Negative,0.0,0.0,Neutral
Negative,1999945855,Mon Jun 01 21:06:49 PDT 2009,NO_QUERY,nailbiter2,"@RocDoogie I am, I'll admit...  maybe I'll feel better tomorrow, yo! Down 4 studio time??","i am, ill admit... maybe ill feel better tomorrow, yo! down 4 studio time??",-0.5191,Negative,-0.1326388888888889,0.6972222222222222,Negative
Negative,2216163585,Wed Jun 17 19:07:16 PDT 2009,NO_QUERY,violetile,"@jasonhooha Going back to sleep is such a great idea, unfortunately I'm already at work notebook-less ","going back to sleep is such a great idea, unfortunately im already at work notebookless",0.4019,Positive,0.07500000000000001,0.5625,Positive
Negative,2183762428,Mon Jun 15 14:57:09 PDT 2009,NO_QUERY,RubyRedsocks,what is with msn making me click the wrong people. garrrrr ,what is with msn making me click the wrong people. garrrrr,-0.4767,Negative,-0.5,0.9,Negative
Negative,1975439689,Sat May 30 15:09:38 PDT 2009,NO_QUERY,smurfpop,Too full of fizz but not enough cider ,too full of fizz but not enough cider,0.0,Neutral,0.175,0.525,Positive
Positive,2180848798,Mon Jun 15 11:01:39 PDT 2009,NO_QUERY,MardiAliyah,How to Get Your Ex Back (worked for me  http://bit.ly/ec8qJ,how to get your ex back worked for me,0.0,Neutral,0.0,0.0,Neutral
Negative,2323431705,Thu Jun 25 00:37:45 PDT 2009,NO_QUERY,Mystinguette,Time to sleep... Long day again tomorrow ,time to sleep... long day again tomorrow,0.0,Neutral,-0.05,0.4,Neutral
Positive,2188435142,Mon Jun 15 21:53:41 PDT 2009,NO_QUERY,EmelyCuellar,Hahaha blakk is reckkkin it. :p throwwwwwed. ,hahaha blakk is reckkkin it. p throwwwwwed.,0.5574,Positive,0.2,0.4,Positive
Positive,1981659749,Sun May 31 09:37:27 PDT 2009,NO_QUERY,jessrupsch,Cubs game today! My first ever ,cubs game today! my first ever,0.0,Neutral,-0.125,0.3666666666666667,Negative
Positive,2064079002,Sun Jun 07 05:09:02 PDT 2009,NO_QUERY,agirlcalledm,@SuzySpaatz ~ hi! sounds like you're feeling a bit better...that's great! you have a great day! ,hi! sounds like youre feeling a bit better...thats great! you have a great day!,0.9198,Positive,1.0,0.75,Positive
Positive,1753196199,Sun May 10 00:31:36 PDT 2009,NO_QUERY,humanintersect,@foprof LOL.  Leave a kid on internet and the kid will do stupid things.,lol. leave a kid on internet and the kid will do stupid things.,-0.2023,Negative,5.551115123125783e-17,0.85,Neutral
Positive,2013719127,Tue Jun 02 23:23:28 PDT 2009,NO_QUERY,iamericpham,eating cha with eric ,eating cha with eric,0.0,Neutral,0.0,0.0,Neutral
Positive,2012896491,Tue Jun 02 21:30:06 PDT 2009,NO_QUERY,YwalkWhenUcnFLY,"@StarJonesEsq On a good note, we DID meet at Marty Richards RED BALL a few years ago, you were so sweet to me I'll never forget it ","on a good note, we did meet at marty richards red ball a few years ago, you were so sweet to me ill never forget it",0.6841,Positive,0.06999999999999998,0.47000000000000003,Positive
Negative,2222469531,Thu Jun 18 07:01:32 PDT 2009,NO_QUERY,Mr_Alien,My hands are officially tied. I don't think I'll have time for anything anymore  This includes the California meet ,my hands are officially tied. i dont think ill have time for anything anymore this includes the california meet,0.3252,Positive,-0.5,1.0,Negative
Positive,1770583669,Mon May 11 21:43:17 PDT 2009,NO_QUERY,zombot,"@Konstantine I said &quot;scar,&quot; sweetie. ","i said quotscar,quot sweetie.",0.4939,Positive,0.0,0.0,Neutral
Negative,1880738950,Fri May 22 02:19:37 PDT 2009,NO_QUERY,_vio_,@CamilleJ it was supposed to go live on tv but it didn't happened in the end  that would have been cool being on the bbc...,it was supposed to go live on tv but it didnt happened in the end that would have been cool being on the bbc...,0.4497,Positive,0.24318181818181817,0.575,Positive
Positive,1827493751,Sun May 17 10:49:45 PDT 2009,NO_QUERY,Rasmussos,FCK-Brï¿½ndby 4-0! ,fckbrï½ndby 40!,0.0,Neutral,0.0,0.0,Neutral
Negative,2226909167,Thu Jun 18 12:32:19 PDT 2009,NO_QUERY,themcflyoldies,@team_allen jealous!  I'm yet to find a local chinese i'm satisfied with ,jealous! im yet to find a local chinese im satisfied with,-0.126,Negative,0.16666666666666666,0.3333333333333333,Positive
Positive,2050490807,Fri Jun 05 18:45:48 PDT 2009,NO_QUERY,tanyanoel,@BayAreaCheap there r a few of us local yocals around  happy to find u on twitter 2day,there r a few of us local yocals around happy to find u on twitter 2day,0.5719,Positive,0.20000000000000004,0.3666666666666667,Positive
Positive,2061151950,Sat Jun 06 20:16:58 PDT 2009,NO_QUERY,Doctor_Rob,"just back from SuperCheap - a most successful trip. The bikes are tanked &amp; checked for the week, so all ready to start relaxing ","just back from supercheap a most successful trip. the bikes are tanked amp checked for the week, so all ready to start relaxing",0.8771,Positive,0.3625,0.4875,Positive
Negative,1792998329,Thu May 14 00:59:39 PDT 2009,NO_QUERY,sparetyme,@ElleChanel want to shoot...but i'm not in charlotte .. ,want to shoot...but im not in charlotte ..,0.0772,Positive,0.0,0.0,Neutral
Positive,1966468123,Fri May 29 17:49:21 PDT 2009,NO_QUERY,Boddingtons,@KingdomGuard welcome new cd out this week...maybe even tomorrow! ,welcome new cd out this week...maybe even tomorrow!,0.5093,Positive,0.48522727272727273,0.6772727272727272,Positive
Negative,2302410832,Tue Jun 23 16:46:11 PDT 2009,NO_QUERY,PRAYERWARRIORMA,@CatholicChicks hate bein on the phone that long ,hate bein on the phone that long,-0.5719,Negative,-0.42500000000000004,0.65,Negative
Positive,1965260370,Fri May 29 15:36:25 PDT 2009,NO_QUERY,raphaelmalikian,"If anyone wanted to attend TEDMED but can't make the date, I'll happily take your place, and will live-blog it for you too ","if anyone wanted to attend tedmed but cant make the date, ill happily take your place, and will liveblog it for you too",0.296,Positive,0.15000000000000002,1.0,Positive
Positive,1834643142,Mon May 18 03:42:25 PDT 2009,NO_QUERY,Geelong_FC,@melbgirl It means the same to us!  #GoCats,it means the same to us! gocats,0.0,Neutral,0.0,0.125,Neutral
Negative,1982797757,Sun May 31 11:55:25 PDT 2009,NO_QUERY,Juliaw467,"beach this morning,bbq this afternoon. Back to school/work 2morro ","beach this morning,bbq this afternoon. back to schoolwork 2morro",0.0,Neutral,0.0,0.0,Neutral
Positive,1754424886,Sun May 10 06:13:32 PDT 2009,NO_QUERY,Jass53,@joshlam and you are how old?? REALLY?!? ,and you are how old?? really?!?,0.0,Neutral,0.175,0.2,Positive
Negative,2204709175,Wed Jun 17 02:55:54 PDT 2009,NO_QUERY,conceptdev,@bing siteowner custom search box fail... &quot;market&quot;:&quot;en-AU&quot; does nothing - it still targets US search   should be &quot;only from australia&quot;??,siteowner custom search box fail... quotmarketquotquotenauquot does nothing it still targets us search should be quotonly from australiaquot??,0.0,Neutral,-0.5,0.3,Negative
Positive,2059230189,Sat Jun 06 16:30:39 PDT 2009,NO_QUERY,Magmoman,Watched Crank 2.... awesome ,watched crank 2.... awesome,0.6249,Positive,1.0,1.0,Positive
Positive,2061920911,Sat Jun 06 21:55:04 PDT 2009,NO_QUERY,jodicobb,Night in with the rock star...  ,night in with the rock star...,0.0,Neutral,0.0,0.0,Neutral
Positive,1971411001,Sat May 30 07:02:50 PDT 2009,NO_QUERY,stavsxx,@BATYASMUSIC Don't really have a reason.. haha sounds stupid. I'll be 14 ,dont really have a reason.. haha sounds stupid. ill be 14,-0.4472,Negative,-0.22499999999999998,0.625,Negative
Positive,1751678466,Sat May 09 20:00:55 PDT 2009,NO_QUERY,ksatt,first night in myers. just not the same w/out lydia!  but i'm actually excited about this summer! ,first night in myers. just not the same wout lydia! but im actually excited about this summer!,0.5696,Positive,0.23958333333333334,0.40277777777777773,Positive
Negative,2298320128,Tue Jun 23 11:31:48 PDT 2009,NO_QUERY,wenckeo,"my tooth is sving, and I cannot see my dentist for a week ","my tooth is sving, and i cannot see my dentist for a week",0.0,Neutral,0.0,0.0,Neutral
Negative,1978973167,Sun May 31 01:08:05 PDT 2009,NO_QUERY,paulagutz2,cant sleep got heartburn really bad ,cant sleep got heartburn really bad,-0.5849,Negative,-0.6999999999999998,0.6666666666666666,Negative
Positive,2053167034,Sat Jun 06 03:32:13 PDT 2009,NO_QUERY,playleimagery,Off to Whipsnade  Hope it's dry,off to whipsnade hope its dry,0.4404,Positive,-0.06666666666666665,0.6,Negative
Negative,2202402887,Tue Jun 16 21:44:13 PDT 2009,NO_QUERY,EvadaJsMomma,Going To Bed ...My Ankle Hurts ,going to bed ...my ankle hurts,-0.4767,Negative,0.0,0.0,Neutral
Negative,2070395570,Sun Jun 07 17:37:10 PDT 2009,NO_QUERY,cindypar7,hates the fact she scanned the wrong passage in all those commentaries she was going to use for her essay ,hates the fact she scanned the wrong passage in all those commentaries she was going to use for her essay,-0.7184,Negative,-0.5,0.9,Negative
Negative,2013951848,Wed Jun 03 00:02:11 PDT 2009,NO_QUERY,singingchicky,I shame the name of female  lol Alright. Shower then sleep then get up in like 5 hours.,i shame the name of female lol alright. shower then sleep then get up in like 5 hours.,0.4939,Positive,0.4,0.4333333333333333,Positive
Positive,2015570824,Wed Jun 03 05:00:24 PDT 2009,NO_QUERY,AnotherJulia,"@disil429 Fine. Kinders coughing again, so not a lot of sleep. Weather's good, though, that's the main thing ","fine. kinders coughing again, so not a lot of sleep. weathers good, though, thats the main thing",0.5719,Positive,0.4277777777777778,0.4777777777777778,Positive
Positive,1827869854,Sun May 17 11:37:05 PDT 2009,NO_QUERY,SarahStramel,Listening to the Nutcracker.  Who says it's only a Christmas thing?! ,listening to the nutcracker. who says its only a christmas thing?!,0.0,Neutral,0.0,1.0,Neutral
Positive,1755641038,Sun May 10 09:39:21 PDT 2009,NO_QUERY,akaBeetroot,"i miss him, i cant wait to see him, im happy ","i miss him, i cant wait to see him, im happy",0.4767,Positive,0.8,1.0,Positive
Negative,2049895505,Fri Jun 05 17:41:34 PDT 2009,NO_QUERY,nikechik,@tristanwilds are you missing me? i'm missing my tuesday nights of 90210 ,are you missing me? im missing my tuesday nights of 90210,-0.5267,Negative,-0.2,0.05,Negative
Positive,2071479153,Sun Jun 07 19:27:50 PDT 2009,NO_QUERY,lattojoyy,"@mithss mourniiiiiiing eh, morniiing!!! ","mourniiiiiiing eh, morniiing!!!",0.0,Neutral,0.0,0.0,Neutral
Positive,1573581650,Tue Apr 21 01:51:27 PDT 2009,NO_QUERY,konghee,@pamelaong Glad the blog helped ,glad the blog helped,0.4588,Positive,0.5,1.0,Positive
Positive,1823943120,Sat May 16 23:30:02 PDT 2009,NO_QUERY,AlphaXi26,Awesome pumpkin! Your famous ,awesome pumpkin! your famous,0.6588,Positive,0.75,1.0,Positive
Negative,2061947730,Sat Jun 06 21:58:48 PDT 2009,NO_QUERY,Ragensi,"@ScarlettHarlott Sadly , I've never seen a single episode. I know , I'm fired , right? ","sadly , ive never seen a single episode. i know , im fired , right?",-0.7506,Negative,-0.09523809523809523,0.5833333333333334,Negative
Positive,1957701428,Fri May 29 01:19:53 PDT 2009,NO_QUERY,SleepyJane,@LucasGo Haha. I will! o.O Hows you?  Long time no @ reply.,haha. i will! o.o hows you? long time no reply.,0.0,Neutral,0.08333333333333333,0.5666666666666668,Positive
Negative,1467871545,Mon Apr 06 22:35:40 PDT 2009,NO_QUERY,Cherye101,"@PaulaAbdul awww, Good luck Paula!! Please don't work too hard  but I hope you have fun  Your new album is gonna be amazing!  xxx","awww, good luck paula!! please dont work too hard but i hope you have fun your new album is gonna be amazing! xxx",0.9644,Positive,0.38244949494949493,0.5993686868686868,Positive
Positive,2193528694,Tue Jun 16 08:34:51 PDT 2009,NO_QUERY,WAmarriage,Seattle PRIDE will be June 28th at 11am.  Come out and support your community! March with the marriage equality contingent! ,seattle pride will be june 28th at 11am. come out and support your community! march with the marriage equality contingent!,0.6892,Positive,-0.125,0.6,Negative
Positive,1965430637,Fri May 29 15:54:31 PDT 2009,NO_QUERY,ahmednaguib,"@Lujee seriosuly, the second one &quot;since I'm already a mid. class dude and would work for food&quot; ","seriosuly, the second one quotsince im already a mid. class dude and would work for foodquot",0.0,Neutral,0.0,0.0,Neutral
Negative,2174824047,Sun Jun 14 23:24:06 PDT 2009,NO_QUERY,jeyjeylu,at school...listining to die Ãrzte - Westerland...great song really..btw i'm so tired...i sleeped between 02:30 and 05:30..thats bad ,at school...listining to die ãrzte westerland...great song really..btw im so tired...i sleeped between 0230 and 0530..thats bad,-0.8126,Negative,-0.6999999999999998,0.6666666666666666,Negative
Negative,1836510110,Mon May 18 08:07:33 PDT 2009,NO_QUERY,natalieavendano,I am so hungry  I hate not eating breakfast!,i am so hungry i hate not eating breakfast!,-0.6452,Negative,-1.0,0.9,Negative
